name,kegg,synonyms,inchikey,smiles,chebis,pubchems,rdkit_img,kegg_img
D-fructose(aq),kegg:C00095,[],,,chebi:15824,pubchem:3395,images/rdkit/D-fructose(aq).gif,https://rest.kegg.jp/get/:/image
L-threitol(aq),,[],,,,,images/rdkit/L-threitol(aq).gif,
L-erythrulose(aq),kegg:C02045,[],,,chebi:23958,pubchem:5134,images/rdkit/L-erythrulose(aq).gif,https://rest.kegg.jp/get/:/image
xylitol(aq),kegg:C00379,[],,,chebi:17151,pubchem:3669,images/rdkit/xylitol(aq).gif,https://rest.kegg.jp/get/:/image
D-xylulose(aq),kegg:C00310,[],,,chebi:17140,pubchem:3604,images/rdkit/D-xylulose(aq).gif,https://rest.kegg.jp/get/:/image
L-xylulose(aq),kegg:C00312,[],,,chebi:17399,pubchem:3606,images/rdkit/L-xylulose(aq).gif,https://rest.kegg.jp/get/:/image
galactitol(aq),kegg:C01697,[],,,chebi:16813,pubchem:4837,images/rdkit/galactitol(aq).gif,https://rest.kegg.jp/get/:/image
D-tagatose(aq),kegg:C00795,[],,,chebi:4249,pubchem:4053,images/rdkit/D-tagatose(aq).gif,https://rest.kegg.jp/get/:/image
D-mannitol(aq),kegg:C00392,[],,,chebi:16899,pubchem:3682,images/rdkit/D-mannitol(aq).gif,https://rest.kegg.jp/get/:/image
D-mannitol 1-phosphate(aq),kegg:C00644,"['D-mannitol 1-phosphate(aq)', 'D-mannitol-1-phosphate(aq)']",,,chebi:16298,pubchem:3917,images/rdkit/D-mannitol 1-phosphate(aq).gif,https://rest.kegg.jp/get/:/image
D-fructose 6-phosphate(aq),kegg:C00085,"['D-fructose 6-phosphate(aq)', 'D-Fructose 6-phosphate']",,,chebi:15946,pubchem:3385,images/rdkit/D-fructose 6-phosphate(aq).gif,https://rest.kegg.jp/get/:/image
myo-inositol,,[],,,,,images/rdkit/myo-inositol.gif,
2-oxo-myo-inositol,,[],,,,,,
D-xylose(aq),kegg:C00181,[],,,chebi:53455,pubchem:3481,images/rdkit/D-xylose(aq).gif,https://rest.kegg.jp/get/:/image
quinate(aq),kegg:C00296,[],,,chebi:29751,pubchem:3590,images/rdkit/quinate(aq).gif,https://rest.kegg.jp/get/:/image
5-dehydroquinate(aq),kegg:C00944,"['5-dehydroquinate(aq)', '3-dehydroquinate(aq)']",,,chebi:32364,pubchem:4196,images/rdkit/5-dehydroquinate(aq).gif,https://rest.kegg.jp/get/:/image
shikimate(aq),kegg:C00493,[],,,chebi:16119,pubchem:3776,images/rdkit/shikimate(aq).gif,https://rest.kegg.jp/get/:/image
3-dehydroshikimate(aq),kegg:C02637,[],,,chebi:16630,pubchem:5617,images/rdkit/3-dehydroshikimate(aq).gif,https://rest.kegg.jp/get/:/image
(R)-glycerate(aq),kegg:C00258,[],,,chebi:16659,pubchem:3557,images/rdkit/(R)-glycerate(aq).gif,https://rest.kegg.jp/get/:/image
hydroxypyruvate(aq),kegg:C00168,[],,,chebi:17180,pubchem:3468,images/rdkit/hydroxypyruvate(aq).gif,https://rest.kegg.jp/get/:/image
glycolate(aq),kegg:C00160,[],,,chebi:29805,pubchem:3460,images/rdkit/glycolate(aq).gif,https://rest.kegg.jp/get/:/image
glyoxylate(aq),kegg:C00048,[],,,chebi:16891,pubchem:3350,images/rdkit/glyoxylate(aq).gif,https://rest.kegg.jp/get/:/image
2-hydroxybutanoate(aq),kegg:C05984,"['2-hydroxybutanoate(aq)', 'D-2-hydroxy-n-butanoate(aq)']",,,chebi:1148,pubchem:8262,,https://rest.kegg.jp/get/:/image
2-oxobutanoate(aq),kegg:C00109,[],,,chebi:16763,pubchem:3409,,https://rest.kegg.jp/get/:/image
"2,4-dihydroxybutanoate(aq)",,[],,,,,,
2-oxo-4-hydroxybutanoate(aq),,[],,,,,,
(S)-lactate(aq),kegg:C00186,[],,,chebi:16651,pubchem:3486,,https://rest.kegg.jp/get/:/image
pyruvate(aq),kegg:C00022,"['pyruvate(aq)', 'pyruvate', 'pyruvate-(aq)']",,,chebi:15361,pubchem:3324,,https://rest.kegg.jp/get/:/image
(R)-lactate(aq),kegg:C00256,[],,,chebi:16004,pubchem:3555,,https://rest.kegg.jp/get/:/image
(R)-3-hydroxybutanoate(aq),kegg:C01089,[],,,chebi:10983,pubchem:4324,,https://rest.kegg.jp/get/:/image
3-oxobutanoate(aq),kegg:C00164,"['3-oxobutanoate(aq)', 'acetoacetate(aq)']",,,chebi:13705,pubchem:3464,,https://rest.kegg.jp/get/:/image
3-hydroxy-2-methylpropanoate(aq),kegg:C01188,[],,,chebi:11805,pubchem:4414,,https://rest.kegg.jp/get/:/image
2-methyl-3-oxopropanoate(aq),kegg:C00349,[],,,chebi:16256,pubchem:3642,,https://rest.kegg.jp/get/:/image
(S)-3-hydroxybutanoyl-CoA(aq),kegg:C01144,"['(S)-3-hydroxybutanoyl-CoA(aq)', '(3S)-3-hydroxybutanoyl-CoA(aq)', 'DL-3-hydroxybutanoyl-CoA(aq)', '(3S)-hydroxybutanoyl-coenzyme A(aq)']",,,chebi:15453,pubchem:4375,,https://rest.kegg.jp/get/:/image
3-oxobutanoyl-CoA(aq),kegg:C00332,"['3-oxobutanoyl-CoA(aq)', 'acetoacetyl-CoA(aq)']",,,chebi:15345,pubchem:3626,,https://rest.kegg.jp/get/:/image
(S)-3-hydroxyhexanoyl-CoA(aq),kegg:C05268,"['(S)-3-hydroxyhexanoyl-CoA(aq)', '(3S)-3-hydroxyhexanoyl-CoA(aq)']",,,chebi:28276,pubchem:7655,,https://rest.kegg.jp/get/:/image
3-oxohexanoyl-CoA(aq),kegg:C05269,[],,,chebi:27648,pubchem:7656,,https://rest.kegg.jp/get/:/image
(S)-malate(aq),kegg:C00149,[],,,chebi:15589,pubchem:3449,,https://rest.kegg.jp/get/:/image
oxaloacetate(aq),kegg:C00036,"['oxaloacetate(aq)', 'keto-oxaloacetate(aq)']",,,chebi:16452,pubchem:3338,,https://rest.kegg.jp/get/:/image
meso-tartrate(aq),kegg:C00552,[],,,chebi:15673,pubchem:3833,,https://rest.kegg.jp/get/:/image
(E)-dihydroxyfumarate(aq),kegg:C00975,[],,,chebi:17795,pubchem:4224,,https://rest.kegg.jp/get/:/image
2-oxo-3-hydroxysuccinate(aq),kegg:C03459,"['2-oxo-3-hydroxysuccinate(aq)', '2-oxo-3-hydroxybutanedioic acid(aq)']",,,chebi:17778,pubchem:6279,,https://rest.kegg.jp/get/:/image
L-glutamate(aq),kegg:C00025,[],,,chebi:16015,pubchem:3327,,https://rest.kegg.jp/get/:/image
L-aspartate(aq),kegg:C00049,[],,,chebi:17053,pubchem:3351,,https://rest.kegg.jp/get/:/image
2-oxoglutarate(aq),kegg:C00026,[],,,chebi:16810,pubchem:3328,,https://rest.kegg.jp/get/:/image
acetyl-CoA(aq),kegg:C00024,[],,,chebi:15351,pubchem:3326,,https://rest.kegg.jp/get/:/image
H2O(l),kegg:C00001,"['H2O(l)', 'H2O', 'H2o(l)']",,,chebi:15377,pubchem:3303,,https://rest.kegg.jp/get/:/image
citrate(aq),kegg:C00158,[],,,chebi:16947,pubchem:3458,,https://rest.kegg.jp/get/:/image
CoA(aq),kegg:C00010,[],,,chebi:15346,pubchem:3312,,https://rest.kegg.jp/get/:/image
carbon dioxide(aq),kegg:C00288,"['carbon dioxide(aq)', 'CO2(aq)', 'CO2']",,,chebi:17544,pubchem:3583,,https://rest.kegg.jp/get/:/image
isocitrate(aq),kegg:C00311,[],,,chebi:16087,pubchem:3605,,https://rest.kegg.jp/get/:/image
6-phospho-D-gluconate(aq),kegg:C00345,[],,,chebi:48928,pubchem:3638,,https://rest.kegg.jp/get/:/image
D-ribulose 5-phosphate(aq),kegg:C00199,"['D-ribulose 5-phosphate(aq)', 'D-Ribulose 5-phosphate']",,,chebi:17363,pubchem:3499,,https://rest.kegg.jp/get/:/image
-D-glucose(aq),kegg:C00031,"['-D-glucose(aq)', 'D-glucose(aq)']",,,chebi:4167,pubchem:3333,,https://rest.kegg.jp/get/:/image
"D-glucono-1,5-lactone(aq)",kegg:C00198,[],,,chebi:16217,pubchem:3498,,https://rest.kegg.jp/get/:/image
D-galactose(aq),kegg:C00124,[],,,chebi:4139,pubchem:3424,,https://rest.kegg.jp/get/:/image
"D-galactono-1,4-lactone(aq)",kegg:C03383,[],,,chebi:15895,pubchem:6218,,https://rest.kegg.jp/get/:/image
D-glucose 6-phosphate(aq),kegg:C00092,"['D-glucose 6-phosphate(aq)', 'D-glucose 6-phosphate', '-D-glucose 6-phosphate(aq)']",,,chebi:4170,pubchem:3392,,https://rest.kegg.jp/get/:/image
"D-glucono-1,5-lactone 6-phosphate(aq)",kegg:C01236,[],,,chebi:16938,pubchem:4457,,https://rest.kegg.jp/get/:/image
5α-androstane-3α-ol-17-one(aq),,[],,,,,,
"5α-androstane-3,17-dione(aq)",,[],,,,,,
"5α-androstane-3α,17β-diol(aq)",,[],,,,,,
5α-androstane-17β-ol-3-one(aq),,[],,,,,,
TNAD(aq),,[],,,,,,
TNADH(aq),,[],,,,,,
5β-androstane-3α-ol-17-one(aq),,[],,,,,,
"5β-androstane-3,17-dione(aq)",,[],,,,,,
"5α-pregnane-3α,17α,21-triol-20-one(aq)",,[],,,,,,
"5α-pregnane-17α,21-diol-3,20-dione(aq)",,[],,,,,,
"5β-pregnane-3α,17α,21-triol-20-one(aq)",,[],,,,,,
"5β-pregnane-17α,21-diol-3,20-dione(aq)",,[],,,,,,
"5β-pregnane-3α,17α,21-triol-11,20-dione(aq)",,[],,,,,,
