name,kegg,synonyms
D-serine(aq),kegg:C00740,[]
2-methylserine(aq),kegg:C02115,[]
D-alanine(aq),kegg:C00133,[]
propanoyl-CoA(aq),kegg:C00100,"['propanoyl-CoA(aq)', 'propionyl-CoA(aq)', 'propanonyl-CoA(aq)']"
methylmalonyl-CoA(aq),kegg:C02557,[]
carbamoyl phosphate(aq),kegg:C00169,[]
L-ornithine(aq),kegg:C00077,[]
L-citrulline(aq),kegg:C00327,[]
guanidinoacetate(aq),kegg:C00581,[]
D-erythrose 4-phosphate(aq),kegg:C00279,"['D-erythrose 4-phosphate(aq)', 'D-erythrose 4-phospahte(aq)']"
D-xylulose 5-phosphate(aq),kegg:C00231,[]
D-erythrose 4-phospahte(aq),kegg:C00279,"['D-erythrose 4-phosphate(aq)', 'D-erythrose 4-phospahte(aq)']"
glycolaldehyde(aq),kegg:C00266,[]
sedoheptulose 7-phosphate(aq),kegg:C05382,[]
D-ribose 5-phosphate(aq),kegg:C00117,[]
D-glyceraldehyde-3-phosphate(aq),kegg:C00118,"['D-glyceraldehyde 3-phosphate(aq)', 'D-glyceraldehyde-3-phosphate(aq)']"
D-glyceraldehyde(aq),kegg:C00577,"['(R)-glyceraldehyde(aq)', 'D-glyceraldehyde(aq)']"
acetyl phosphate(aq),kegg:C00227,"['acetyl phosphate(aq)', 'acetyl phosphate-2-(aq)']"
imidazole(aq),kegg:C01589,[]
N-acetylimidazole(aq),kegg:C02560,[]
4-aminoazobenzene-4'-sulfonic acid(aq),nan,[]
acetanilide(aq),nan,[]
N-acetyl-4-aminoazobenzene-4'-sulfonic acid(aq),nan,[]
aniline(aq),nan,[]
4'-acetylacetanalide(aq),nan,[]
4'-aminoacetophenone(aq),nan,[]
4'-chloroacetanilide(aq),nan,[]
4'-chloroaniline(aq),nan,[]
4'-cyanoacetanilide(aq),nan,[]
4'-cyanoaniline(aq),nan,[]
ethyl 4-acetamidobenzoate(aq),nan,[]
ethyl 4-aminobenzoate(aq),nan,[]
4'-methoxyacetanilide(aq),nan,[]
4'-methoxyaniline(aq),nan,[]
4'-methylacetanilide(aq),nan,[]
p-toluidine(aq),nan,[]
4'-nitroacetanilide(aq),nan,[]
4'-nitroaniline(aq),nan,[]
"α,α,α-trifluoro-m-acetanilide(aq)",nan,[]
"α,α,α-trifluoro-m-toluidine(aq)",nan,[]
choline(aq),kegg:C00114,[]
O-acetylcholine(aq),kegg:C01996,"['O-acetylcholine(aq)', 'acetylcholine(aq)']"
L-acetylcarnitine(aq),kegg:C02571,[]
butyryl-CoA(aq),nan,[]
L-butyrylcarnitine(aq),nan,[]
propionyl-CoA(aq),kegg:C00100,"['propanoyl-CoA(aq)', 'propionyl-CoA(aq)', 'propanonyl-CoA(aq)']"
L-propionylcarnitine(aq),kegg:C03017,[]
formyl-CoA(aq),kegg:C00798,[]
formyl phosphate(aq),kegg:C02405,[]
acetate(aq),kegg:C00033,"['acetate(aq)', 'acetate-(aq)']"
orthophospate(aq),kegg:C00009,"['orthophosphate(aq)', 'orthophospate(aq)', 'HPO4-2-(aq)', 'phosphate(aq)']"
acetoacetyl-CoA(aq),kegg:C00332,"['3-oxobutanoyl-CoA(aq)', 'acetoacetyl-CoA(aq)']"
palmitoyl-CoA(aq),kegg:C00154,[]
L-palmitoylcarnitine(aq),kegg:C02990,[]
N-2-acetyl-L-ornithine(aq),kegg:C00437,[]
N-acetyl-L-glutamate(aq),kegg:C00624,[]
acyl-carrier protein(aq),kegg:C00229,[]
acetyl-[acyl-carrier protein](aq),kegg:C03939,[]
malonyl-CoA(aq),kegg:C00083,[]
malonyl-[acyl-carrier protein](aq),kegg:C01209,[]
sucrose(aq),kegg:C00089,[]
-D-glucose 1-phosphate(aq),kegg:C00103,"['-D-glucose 1-phosphate(aq)', 'D-glucose 1-phosphate(aq)']"
maltose(aq),kegg:C00208,[]
D-glucose 1-phosphate(aq),kegg:C00103,"['-D-glucose 1-phosphate(aq)', 'D-glucose 1-phosphate(aq)']"
"(2,6-beta-D-fructosyl)n(aq)",nan,[]
"(2,6-beta-D-fructosyl)n+1(aq)",nan,[]
ADPglucose(aq),kegg:C00498,[]
UDPglucose(aq),kegg:C00029,"['UDPglucose(aq)', 'UDP-glucose']"
UDP(aq),2 kegg:C00015,[]
sucrose 6-phosphate(aq),kegg:C16688,[]
UDP-glucose,kegg:C00029,"['UDPglucose(aq)', 'UDP-glucose']"
D-glucose 6-phosphate,kegg:C00092,"['D-glucose 6-phosphate(aq)', 'D-glucose 6-phosphate', '-D-glucose 6-phosphate(aq)']"
UDP,kegg:C00015,[]
"alpha,alpha'-trehalose 6-phosphate",kegg:C00689,"[""alpha,alpha'-trehalose 6-phosphate"", ',-trehalose 6-phosphate(aq)']"
cycloheptaamylose(aq),nan,[]
cyclohexaamylose(aq),nan,[]
cyclooctaamylose(aq),nan,[]
cellobiose(aq),kegg:C00185,[]
cellotriose(aq),kegg:C06219,[]
laminaribiose(aq),kegg:C02048,[]
laminaritetraose(aq),nan,[]
laminaritriose(aq),nan,[]
alpha-D-glucose 1-phosphate(aq),nan,[]
",-trehalose(aq)",kegg:C01083,[]
1--D-galactosyl-myo-inositol(aq),kegg:C01235,[]
raffinose(aq),kegg:C00492,[]
myo-inositol(aq),kegg:C00137,[]
stachyose(aq),kegg:C01613,[]
sinapate(aq),kegg:C00482,[]
1-sinapoyl-D-glucose(aq),kegg:C01175,[]
adenosine(aq),kegg:C00212,[]
adenine(aq),kegg:C00147,[]
D-ribose 1-phosphate(aq),kegg:C00620,[]
2'-deoxyinosine(aq),kegg:C05512,"[""2'-deoxyinosine(aq)"", ""'-deoxyinosine(aq)""]"
hypoxanthine(aq),kegg:C00262,[]
2-deoxy--D-ribose 1-phosphate(aq),kegg:C00672,[]
guanosine(aq),kegg:C00387,[]
guanine(aq),kegg:C00242,[]
inosine(aq),kegg:C00294,[]
alpha-D-ribose 1-phosphate(aq),nan,[]
nicotinamide(aq),kegg:C00153,[]
nicotinamide riboside(aq),kegg:C03150,[]
xanthosine(aq),kegg:C01762,[]
xanthine(aq),kegg:C00385,[]
thymine(aq),kegg:C00178,[]
5-methyluridine(aq),nan,[]
alpha-D-ribose-1-phosphate,nan,[]
uridine(aq),kegg:C00299,[]
uracil(aq),kegg:C00106,[]
thymidine(aq),kegg:C00214,[]
2'-deoxyadenosine(aq),kegg:C00559,[]
5-phospho--D-ribose 1-diphosphate(aq),kegg:C00119,"['5-phospho--D-ribose 1-diphosphate(aq)', '5-Phospho-alpha-D-ribose 1-diphosphate(aq)']"
AMP(aq),kegg:C00020,"['AMP(aq)', 'AMP-2--(aq)', 'AMP']"
pyrophosphate(aq),kegg:C00013,"['pyrophosphate(aq)', 'pyrophosphate', 'diphosphate(aq)', 'diphosphate']"
5-amino-4-imidazolecarboxamide(aq),nan,[]
5-phospho-alpha-D-ribose 1-dipihosphate(aq),nan,[]
5-amino-1-beta-D-ribosyl-4-imidazolecarboxamide 5'-phosphate(aq),nan,[]
GMP(aq),kegg:C00144,"['GMP(aq)', ""guanosine 5 '-phosphate(aq)""]"
IMP(aq),kegg:C00130,[]
orotidine 5'-phosphate(aq),kegg:C01103,"[""orotidine 5'-phosphate(aq)"", ""orotidine 5 '-phosphate(aq)""]"
thiopyrophosphate(aq),nan,[]
phosphoribosyl-1-O-(2-thiodiphosphate)(aq),nan,[]
thiamine(aq),nan,[]
4-methyl-5-(2'-hydroxyethyl)-thiazole(aq),nan,[]
heteroanilithiamine(aq),nan,[]
heteronicotinathiamine(aq),nan,[]
2-methyl-4-amino-5-hydroxymethylpyrimidine diphosphate(aq),kegg:C04752,[]
4-methyl-5-(2-phosphonoxyethyl)-thiazole(aq),kegg:C04327,[]
thiamine monophosphate(aq),kegg:C01081,[]
erythro-3-hydroxyaspartate(aq),kegg:C19838,[]
2-oxo-3-hydroxybutanedioic acid(aq),kegg:C03459,"['2-oxo-3-hydroxysuccinate(aq)', '2-oxo-3-hydroxybutanedioic acid(aq)']"
L-histidinol phosphate(aq),kegg:C01100,[]
3-(imidazol-4-yl)-2-oxopropyl phosphate(aq),kegg:C01267,[]
DL-D-1-pyrroline-5-carboxylate(aq),kegg:C03912,"['D-1-pyrroline-5-carboxylate(aq)', 'DL-D-1-pyrroline-5-carboxylate(aq)']"
L-glutamine(aq),kegg:C00064,[]
2-oxoglutaramate(aq),kegg:C00940,[]
2-oxo-4-methiolbutyrate(aq),nan,[]
N-succinyl-2-L-amino-6-oxoheptanedioate(aq),kegg:C04462,[]
"N-succinyl-L-2,6-diaminoheptanedioate(aq)",kegg:C04421,[]
L-alanine,kegg:C00041,"['L-alanine(aq)', 'L-alanine']"
3-oxopropanoate,kegg:C00222,"['3-oxopropanoate(aq)', '3-oxopropanoate']"
beta-alanine,kegg:C00099,[]
pyruvate,kegg:C00022,"['pyruvate(aq)', 'pyruvate', 'pyruvate-(aq)']"
4-aminobutanoate(aq),kegg:C00334,[]
D-glutamate(aq),kegg:C00217,[]
5-deoxypyridoxamine(aq),nan,[]
5-deoxypyridoxal(aq),nan,[]
3-hydroxy-4-aminomethylpyridine(aq),nan,[]
3-hydroxypyridine-4-aldehyde(aq),nan,[]
ω-methylpyridoxamine(aq),nan,[]
ω-methylpyridoxal(aq),nan,[]
norpyridoxamine(aq),nan,[]
norpyridoxal(aq),nan,[]
pyridoxamine(aq),kegg:C00534,[]
pyridoxal(aq),kegg:C00250,[]
"dTDP-4-amino-4,6-dideoxy-D-glucose(aq)",kegg:C04268,[]
dTDP-4-dehydro-6-deoxy-D-glucose(aq),kegg:C11907,[]
L-2-aminoadipate(aq),kegg:C00956,[]
2-oxoadipate(aq),kegg:C00322,[]
3-phosphonooxypyruvate(aq),kegg:C03232,"['3-phosphohydroxypyruvate(aq)', '3-phosphonooxypyruvate(aq)']"
O-phospho-L-serine(aq),kegg:C01005,"['O-phospho-L-serine(aq)', 'L-O-phosphoserine(aq)']"
6-amino-D-glucose(aq),nan,[]
6-amino-D-glucose 6-phosphate(aq),nan,[]
D-mannose(aq),kegg:C00159,[]
D-mannose 6-phosphate(aq),kegg:C00275,[]
D-galactose 1-phosphate(aq),kegg:C03384,"['D-galactose 1-phosphate(aq)', '-D-galactose 1-phosphate(aq)']"
"D-fructose 1,6-bisphosphate(aq)",kegg:C00354,[]
3'-dephospho-CoA(aq),kegg:C00882,[]
lysozyme(aq),nan,[]
phospholysozyme(aq),nan,[]
phosvitin(aq),nan,[]
dephosvitin(aq),nan,[]
pyruvate kinase(aq),nan,[]
phosphoenolpyruvate kinase(aq),nan,[]
phosphoenolpyruvate(aq),kegg:C00074,"['phosphoenolpyruvate(aq)', 'phosphoenolpyruvate3-(aq)']"
1-phosphatidyl-1D-myo-inositol(aq),kegg:C01194,[]
1-phosphatidyl-1D-myo-inositol 4-phosphate(aq),kegg:C01277,[]
ADP (aq),nan,[]
